,Rate
AED,4.031832
AFN,100.638497
ALL,122.277865
AMD,552.22253
ANG,1.989784
AOA,542.519729
ARS,118.606039
AUD,1.491214
AWG,1.976103
AZN,1.869001
BAM,1.947655
BBD,2.229164
BDT,94.975151
BGN,1.951246
BHD,0.413818
BIF,2207.554125
BMD,1.097683
BND,1.499221
BOB,7.590241
BRL,5.52409
BSD,1.104076
BTC,2.6264682e-05
BTN,83.901795
BWP,12.823093
BYN,3.414101
BYR,21514.578722
BZD,2.225479
CAD,1.39898
CDF,2211.830615
CHF,1.008109
CLF,0.031877
CLP,879.628082
CNY,6.935488
COP,4126.682805
CRC,708.996975
CUC,1.097683
CUP,29.088589
CVE,109.804108
CZK,25.684018
DJF,196.546805
DKK,7.439104
DOP,60.258619
DZD,156.436229
EGP,17.22057
ERN,16.46526
ETB,56.608125
EUR,1.0
FJD,2.315343
FKP,0.799025
GBP,0.826061
GEL,3.518049
GGP,0.799025
GHS,7.590241
GIP,0.799025
GMD,58.513612
GNF,9907.205757
GTQ,8.512171
GYD,231.05019
HKD,8.578335
HNL,27.186137
HRK,7.558755
HTG,115.524151
HUF,383.236668
IDR,15784.510961
ILS,3.568807
IMP,0.799025
INR,83.630194
IQD,1611.381708
IRR,46431.973886
ISK,143.993717
JEP,0.799025
JMD,171.276644
JOD,0.778228
JPY,126.638572
KES,125.136009
KGS,107.214723
KHR,4488.002946
KMF,488.414326
KPW,987.914501
KRW,1336.54383
KWD,0.333059
KYD,0.920047
KZT,549.715114
LAK,12659.888394
LBP,1669.308453
LKR,223.570323
LRD,169.368229
LSL,16.673602
LTL,3.241171
LVL,0.663978
LYD,5.103226
MAD,10.621219
MDL,20.286932
MGA,4402.869619
MKD,61.358015
MMK,1963.168383
MNT,3138.08919
MOP,8.885921
MRO,391.872495
MUR,48.681667
MVR,16.959325
MWK,887.278903
MXN,22.875167
MYR,4.586117
MZN,70.065326
NAD,16.756092
NGN,459.281209
NIO,39.475665
NOK,9.827931
NPR,134.242753
NZD,1.606096
OMR,0.422598
PAB,1.104066
PEN,4.139724
PGK,3.910223
PHP,57.013402
PKR,196.935079
PLN,4.842839
PYG,7687.771426
QAR,3.996673
RON,4.949125
RSD,117.649577
RUB,122.120482
RWF,1119.560955
SAR,4.118265
SBD,8.852331
SCR,15.806541
SDG,490.107942
SEK,10.782075
SGD,1.492623
SHP,1.511945
SLL,12788.001791
SOS,643.242505
SRD,22.40917
STD,22719.813357
SVC,9.66032
SYP,2757.378414
SZL,16.867806
THB,35.920017
TJS,12.458935
TMT,3.841889
TND,3.212366
TOP,2.495139
TRY,15.604669
TTD,7.49215
TWD,30.923143
TZS,2541.135572
UAH,33.176746
UGX,3932.593335
USD,1.097683
UYU,46.97682
UZS,12034.327124
VEF,234717711821.03653
VND,25071.070307
VUV,124.775132
WST,2.867523
XAF,653.221121
XAG,0.048746
XAU,0.000607
XCD,2.966542
XDR,0.793875
XOF,653.221121
XPF,118.884099
YER,274.694805
ZAR,16.855028
ZMK,9880.463444
ZMW,19.817698
ZWL,353.453345
